Flux	Energy	Variance	Error
0	-1077.387939	31.34505081	0.01806961559
0.6283185307	-1077.369385	31.51850891	0.01811954379
1.256637061	-1077.421875	31.55805016	0.01813090593
1.884955592	-1077.381592	32.35172272	0.01835748181
2.513274123	-1077.452148	31.34820557	0.01807052456
3.141592654	-1077.367676	31.48724174	0.01811055467
3.769911184	-1077.305054	32.27772141	0.0183364749
4.398229715	-1077.377441	32.05027008	0.01827175543
5.026548246	-1077.27356	31.39985466	0.01808540523
5.654866776	-1077.272583	32.64865875	0.01844153553
6.283185307	-1077.187622	31.64099121	0.01815471426
