distance	pair correlation
0	0.04796137661
1.999998927	0.004695034586
1.999999523	0.004795948043
1.999999881	0.004727177322
2	0.004820771981
3.464101553	0.004143396858
3.464101791	0.004056459293
3.999998331	0.003998330794
3.999999762	0.003963588737
4	0.003932597581
4.000000954	0.003988096956
5.291499615	0.003811116796
5.291501045	0.003809585702
5.291501999	0.003786738496
5.291502953	0.003869036445
5.291503429	0.003757850965
5.999999046	0.003691851627
6	0.003794374643
6.000000477	0.003784580855
6.928202629	0.003696921747
6.928203106	0.003796397941
7.211101055	0.003743664362
7.211101532	0.003767097136
7.211102962	0.003765563248
7.211103439	0.003740506945
7.999999523	0.003721074201
8	0.00371451606
