distance	pair correlation
0	0.05207514018
1.999998927	0.00255117123
1.999999523	0.002542425413
1.999999881	0.002577432897
2	0.002588501899
3.464101553	0.001932232291
3.464101791	0.001926584169
3.999998331	0.001826802851
3.999999762	0.001910423278
4	0.001831459696
4.000000954	0.001809251611
5.291499615	0.001770582865
5.291501045	0.001794122625
5.291501999	0.001794775599
5.291502953	0.001766068279
5.291503429	0.001874183188
5.999999046	0.001862340141
6	0.001830529072
6.000000477	0.00178677775
6.928202629	0.001854880597
6.928203106	0.001757226884
7.211101055	0.001794720651
7.211101532	0.001781526138
7.211102962	0.001817386597
7.211103439	0.001833540737
7.999999523	0.001786857028
8	0.001806974877
