distance	pair correlation
0	0.05188772082
1.999998569	0.002459694399
1.999999046	0.002443027217
1.999999166	0.002410856308
2	0.002416071715
2.000000477	0.002446837956
3.464100361	0.001891954453
3.464101315	0.001868280931
3.464101791	0.001881555771
3.464102507	0.001882597571
3.999998093	0.001824995154
3.999999046	0.001820159727
4	0.001845390419
4.000001907	0.001842476428
5.291500568	0.001838332624
5.291501045	0.001844124869
5.291501999	0.00187136943
5.291502953	0.001836377895
5.291503429	0.001835137838
5.291504383	0.001840642188
6	0.001849817112
6.000000477	0.001833835035
6.928202629	0.001828533481
6.928203106	0.001878420706
6.928203583	0.001847836538
7.211100101	0.001814284013
7.211101532	0.001864804537
7.211102009	0.001830252353
7.211103439	0.001828425447
7.211104393	0.001780736842
7.999996662	0.001843475853
7.999999523	0.001829845831
8	0.001826839172
8.000001907	0.001852927497
8.717795372	0.001849416061
8.717797279	0.001830802998
8.717798233	0.001826922991
8.717799187	0.001826011227
9.165149689	0.001765867113
9.165150642	0.001836419571
9.165151596	0.001843787963
9.16515255	0.001830250258
9.999999046	0.001827016938
10.00000095	0.001829476445
10.39230347	0.001822680817
10.39230442	0.001854419941
10.58300209	0.001843762933
10.583004	0.001839836244
10.58300591	0.001793147414
11.13552666	0.001837736578
11.13552856	0.001811551745
12	0.001806877553
