U	Energy	Variance	Error
4	-756.6411318	1.225255953	0.01129738149
8	-865.4167086	5.391866234	0.02369921376
9	-904.1185964	6.858952486	0.02672965053
10	-947.6173152	8.717220356	0.0301337649
11	-995.8200214	11.04851842	0.03392473044
12	-1049.284889	13.25441083	0.03715733838
13	-1107.669461	16.09880505	0.04095068814
14	-1171.043037	17.17355511	0.04229553156
15	-1236.780635	14.76867968	0.03922249524
16	-1303.866337	11.96966063	0.03531061666
17	-1371.895868	10.82222678	0.03357551623
18	-1440.861705	9.676524124	0.03174856316
20	-1580.642312	8.79698697	0.03027131991
