U	Energy	Variance	Error
4	-752.8805336	1.966928927	0.01431392433
8	-862.277815	8.080546418	0.02901247292
9	-901.2399207	10.79765918	0.03353738458
10	-944.8937096	13.46424024	0.03745030073
11	-993.5808947	16.32591695	0.04123852991
12	-1047.519276	18.75621276	0.04420149503
13	-1106.148494	18.79079977	0.04424223069
14	-1167.820443	18.86241505	0.04432645825
15	-1232.106715	18.35979025	0.04373188941
16	-1297.94038	15.96426682	0.04077921604
17	-1364.755078	15.54574747	0.04024113188
18	-1432.553505	15.24076137	0.03984443887
20	-1570.330968	13.96895155	0.03814576149
