U	Energy	Variance	Error
4	-756.6480264	2.806073693	0.01709676411
8	-865.2297056	13.27941671	0.03719237253
9	-903.8718575	17.24967532	0.04238916346
10	-947.3314537	21.92652927	0.04779135346
11	-995.4435934	27.00763579	0.05304050711
12	-1048.888989	33.94137722	0.05946057624
13	-1107.24557	39.58209936	0.06421164497
14	-1170.649409	42.13678196	0.0662514009
15	-1236.454109	36.3285042	0.06151600757
16	-1303.576336	31.70509216	0.05746837188
17	-1371.655594	28.26204208	0.05425829629
18	-1440.658304	25.1455867	0.05117940941
20	-1580.520636	22.73711138	0.04866671452
