U	Energy	Variance	Error
4	-484.2582429	1.720384914	0.01338681299
8	-553.8581415	7.092630414	0.02718116385
9	-578.6613917	8.858795341	0.03037747819
10	-606.4430223	11.72831623	0.03495281973
11	-637.4582996	14.91661285	0.03941844541
12	-671.5799196	19.00340063	0.0444918071
13	-709.3250245	22.34952181	0.04825013149
14	-749.9320909	21.03288887	0.04680732768
15	-791.7479447	19.2276861	0.04475359168
16	-834.5721136	17.72176492	0.04296530204
17	-878.0957626	15.22026563	0.03981763851
18	-922.2044619	15.56481605	0.04026580441
20	-1011.679711	14.32077684	0.03862314833
