U	Energy	Variance	Error
4	-480.787871	2.412996493	0.01585414146
8	-550.6891283	10.30461558	0.03276274494
9	-575.6054685	14.36183126	0.03867847062
10	-603.6711799	18.50218495	0.04390114955
11	-635.0684728	23.53806273	0.04951647741
12	-669.4483749	27.34294294	0.05336874763
13	-706.8190411	29.55976423	0.05549001809
14	-746.0025399	29.81409625	0.05572822468
15	-786.6163784	27.29325253	0.05332023198
16	-828.2808075	26.62625982	0.05266468201
17	-870.664645	25.63298329	0.05167303384
18	-913.8245207	26.34192768	0.0523827338
20	-1001.215547	25.10707189	0.05114019934
