U	Energy	Variance	Error
4	-480.8385438	1.030652824	0.01036145111
8	-550.8008539	4.50715526	0.02166784114
9	-575.7887659	6.736359007	0.0264896973
10	-603.8224465	7.917033343	0.02871743326
11	-635.299761	10.25431155	0.03268267818
12	-669.7192425	11.7416935	0.03497274758
13	-707.1159282	12.64393768	0.03629155331
14	-746.2992959	12.67628296	0.03633794355
15	-786.8741534	11.12293505	0.0340387877
16	-828.5348975	10.42968303	0.03296096654
17	-870.8836625	10.27913522	0.03272221344
18	-914.0518791	10.32773902	0.03279948396
20	-1001.38259	9.904527134	0.03212042304
