U	Energy	Variance	Error
4	-1090.124213	4.084619167	0.02062719475
8	-1246.895528	14.77575989	0.0392318959
9	-1302.690277	21.26265172	0.04706229441
10	-1365.10411	27.92146921	0.05393038453
11	-1434.406518	35.89518295	0.06114802987
12	-1510.852279	46.41840529	0.06953596588
13	-1594.35678	61.50264263	0.08004077257
13.25	-1616.328138	64.46967415	0.08194870992
13.5	-1638.688914	67.13508155	0.08362558019
13.75	-1661.425609	69.98570831	0.0853825389
14	-1684.835021	75.21565472	0.0885153322
15	-1780.549344	69.2406788	0.08492685505
16	-1877.037098	60.90448382	0.07965059362
18	-2074.132472	51.00334066	0.07288928581
20	-2275.485489	50.76123181	0.07271608016
