U	Energy	Variance	Error
4	-1089.648114	1.794148668	0.01367078953
8	-1247.293313	5.447944944	0.02382213813
9	-1303.048135	7.82923825	0.02855775991
10	-1365.470509	10.56275476	0.03317057362
11	-1434.941494	14.14347226	0.03838330835
12	-1511.435823	18.06143499	0.04337510205
13	-1595.017871	26.56015321	0.0525992645
13.25	-1617.035442	27.48396681	0.05350619786
13.5	-1639.486722	28.69378909	0.05467116574
13.75	-1662.163357	29.82018292	0.05573391296
14	-1685.619879	34.15226034	0.05964500917
15	-1781.199216	26.82341253	0.05285929882
16	-1877.63809	24.28582827	0.05029685654
18	-2074.522621	19.39986422	0.04495352255
20	-2275.482361	20.11676215	0.04577658853
