U	Energy	Variance	Error
4	-1085.631243	2.799065867	0.01707540222
8	-1243.370353	9.22069626	0.03099176009
9	-1299.515637	12.54249839	0.03614568091
10	-1362.278271	16.4888411	0.04144378861
11	-1432.436343	19.47551239	0.04504108355
12	-1509.879894	22.17942772	0.0480661737
13	-1594.446374	22.8792796	0.04881862648
13.25	-1616.664313	24.16480039	0.05017137338
13.5	-1638.824205	22.84527595	0.04878233538
13.75	-1661.357412	23.7318974	0.04971994213
14	-1684.235772	22.39796745	0.04830239755
15	-1776.978604	20.62386439	0.04634996449
16	-1872.130906	20.496017	0.04620607937
18	-2066.886199	18.25322829	0.0436047927
20	-2265.718024	19.1245833	0.04463344143
