U	charge fit	spin fit
4	1.801725196	1.924172455
5	1.767088562	1.933836073
6	1.714755955	1.930077157
7	1.691161132	1.94269877
8	1.618706634	1.937634856
9	1.573115121	1.986232829
10	1.459863941	1.946559757
11	1.376400213	1.948944828
12	1.291881748	1.914948861
13	1.495604775	1.951090352
14	1.77466838	1.919463102
15	1.834261711	1.915793481
16	1.897859001	1.915452888
17	1.889782641	1.924960266
18	1.898841324	1.889333235
19	1.931240208	1.926570561
20	1.9196421	1.919558596
