U	charge fit	spin fit
4	1.846554863	1.953997424
6	1.777443458	1.957539715
8	1.684515842	1.958092619
9	1.613081251	1.963085464
10	1.562883155	1.975764911
11	1.472204391	1.969101092
12	1.368837803	1.956073783
13	1.2857761	1.954411614
13.25	1.298846522	1.956199089
13.5	1.30576865	1.954113314
13.75	1.356099535	1.951850846
14	1.419900049	1.9561264
15	1.831988212	1.918947004
16	1.895286745	1.93507971
18	1.918620973	1.932048974
20	1.916140908	1.937138753
