U	Stiffness	Stiffness_Error
4	0.03655212753	0.001526714708
8	0.09680131727	0.003013843018
9	0.1495882844	0.003391579686
10	0.2002898269	0.003784282773
11	0.2559661408	0.004144203098
12	0.3282166727	0.004491644478
13	0.3285929189	0.004687088774
14	0.2981880234	0.004733957444
15	0.255556914	0.004708854019
16	0.2338904243	0.004701862075
17	0.1975096017	0.004594601192
18	0.1678125432	0.004488088125
