U	stiffness	error
4	0.0986294323	0.001057901666
8	0.1565779194	0.00193794235
9	0.1825809715	0.002156916723
10	0.2013875941	0.002344857236
11	0.2077191555	0.002516061269
12	0.2126257727	0.002646007697
13	0.2120638713	0.002745863605
14	0.2080735572	0.002820150942
15	0.2008327701	0.002870815943
16	0.2000021457	0.002910933307
17	0.1939387968	0.002941431798
18	0.1806833558	0.002959274543
