U	Energy	Variance	Error
4	-1054.286317	14.7492671	0.003919670892
8	-1212.888425	52.99514645	0.007429890817
9	-1268.763788	67.7208542	0.00839896163
10	-1332.450599	82.51787801	0.009271252501
11	-1401.642967	97.70323627	0.0100883202
12	-1476.354973	110.0022466	0.01070446979
13	-1555.470776	118.0021499	0.01108687991
14	-1637.938823	124.5831684	0.01139184505
15	-1723.43172	126.1589599	0.0114636636
16	-1810.899599	126.8330255	0.01149424791
17	-1899.925712	126.8240954	0.01149384325
18	-1990.231915	126.3403499	0.01147190181
