U	Energy	Variance	Error
4	-1077.732207	8.368087928	0.002952415665
8	-1235.564539	32.3358243	0.005803718663
9	-1291.467944	41.17335521	0.006548962641
10	-1355.011435	51.37892598	0.007315716955
11	-1424.772944	61.64662311	0.008013440734
12	-1502.017455	72.86529447	0.008712137993
13	-1585.514726	80.52435843	0.009158577402
14	-1673.342213	82.51261755	0.009270956977
15	-1764.145375	81.9767826	0.009240805261
16	-1856.976722	81.74086184	0.009227498636
17	-1952.003678	77.73798293	0.008998725774
18	-2048.290294	74.30762247	0.00879794143
