U	Energy	Variance	Error
4	-1017.37398	21.41467395	0.004723023611
8	-1174.783679	71.89165204	0.008653735467
9	-1230.057826	89.11970593	0.009634989726
10	-1290.328396	105.1020666	0.01046333213
11	-1355.491867	120.5493	0.01120589968
12	-1424.041257	133.5396834	0.01179422897
13	-1496.82523	143.1927011	0.01221306938
14	-1572.618282	150.7775873	0.01253235759
15	-1650.282352	155.8092507	0.01273975286
16	-1729.752205	160.1202244	0.01291479386
17	-1810.28416	163.7063427	0.01305861556
18	-1892.045423	165.6186521	0.01313466517
