U	Energy	Variance	Error
4	-1054.537984	14.5975123	0.003899454061
8	-1213.420481	53.39539794	0.00745789556
9	-1269.452084	67.61417529	0.008392343689
10	-1333.318051	82.42003625	0.009265754391
11	-1402.640045	96.19183779	0.01000998656
12	-1477.377665	107.285166	0.01057144178
13	-1556.472479	114.5440817	0.01092322076
14	-1638.901531	120.0723682	0.01118371063
15	-1724.309968	122.5087998	0.01129660715
16	-1811.682454	123.8194851	0.0113568759
17	-1900.670983	122.9925627	0.0113188892
18	-1990.858511	122.6450808	0.01130288868
