U	Energy	Variance	Error
4	-1016.750982	21.45214672	0.004727154129
8	-1173.794647	71.95918017	0.008657798758
9	-1228.904544	89.07607895	0.009632631117
10	-1289.056322	105.5004151	0.01048314198
11	-1354.179799	121.9291217	0.01126984924
12	-1422.698196	134.6319751	0.01184236635
13	-1495.485719	145.601583	0.01231536908
14	-1571.303975	153.8543125	0.01265957775
15	-1649.013782	159.8666081	0.01290456186
16	-1728.488882	164.439916	0.01308784089
17	-1809.059136	167.6904019	0.01321656165
18	-1890.904129	169.8107965	0.01329985888
