|k|	charge structure factor	charge structure factor fit
0.6045997881	0.1943001598	0.1899598442
1.209199576	0.6434047818	0.6831725383
1.813799364	1.114086747	1.44441731
2.418399152	1.545303106	2.45696515
3.02299894	1.838603735	3.709784774
3.627598728	1.956925273	5.194709673
3.02299894	1.838603854	3.709784774
2.418399152	1.545303106	2.45696515
1.813799364	1.114086747	1.44441731
1.209199576	0.6434047818	0.6831725383
0.6045997881	0.1943001747	0.1899598442
0.3490658504	0.06759689748	0.06888844233
0.3490658504	0.06869661808	0.06888844233
0.9235414313	0.4096701741	0.4153427022
1.521542767	0.8909102082	1.044217857
2.123284675	1.339363813	1.932111247
2.726291445	1.73753655	3.065502558
3.329875986	1.896521688	4.434919071
3.329875986	1.90281105	4.434919071
2.726291445	1.713005662	3.065502558
2.123284675	1.343818665	1.932111247
1.521542767	0.8793069124	1.044217857
0.9235414313	0.4145721197	0.4153427022
0.6981317008	0.252914995	0.2477507402
0.3490658504	0.06770613045	0.06888844233
0.6981317008	0.2507474422	0.2477507402
1.258574822	0.6779071093	0.7355724924
1.847082863	1.150783777	1.493740582
2.443460953	1.552587271	2.504187269
3.043085533	1.831899643	3.75543035
3.64435447	1.888932109	5.239102839
3.043085533	1.874460578	3.75543035
2.443460953	1.582972765	2.504187269
1.847082863	1.156701326	1.493740582
1.258574822	0.6813051701	0.7355724924
1.047197551	0.5058149695	0.5238141724
0.6045997881	0.194469288	0.1899598442
0.6045997881	0.1927716285	0.1899598442
1.047197551	0.5078626871	0.5238141724
1.599620682	0.9520148039	1.145307287
2.179915537	1.391519189	2.028340768
2.770624294	1.734682679	3.158184254
3.366269154	1.934842467	4.524836364
3.366269154	1.938066244	4.524836364
2.770624294	1.744642377	3.158184254
2.179915537	1.388540745	2.028340768
1.599620682	0.9705520868	1.145307287
1.396263402	0.7865982652	0.8910120071
0.9235414313	0.4077476561	0.4153427022
0.6981317008	0.2505099177	0.2477507402
0.9235414313	0.4082370102	0.4153427022
1.396263402	0.7899517417	0.8910120071
1.943516402	1.217071772	1.640920113
2.517149644	1.585913777	2.645416608
3.102565143	1.854934812	3.89209329
3.694165725	1.960507751	5.372096134
3.102565143	1.846300602	3.89209329
2.517149644	1.631554484	2.645416608
1.943516402	1.227015138	1.640920113
1.745329252	1.062249899	1.345343778
1.258574822	0.6788487434	0.7355724924
0.9235414313	0.4172985256	0.4153427022
0.9235414313	0.4075963497	0.4153427022
1.258574822	0.6708725095	0.7355724924
1.745329252	1.070294738	1.345343778
2.288977855	1.464174628	2.219685524
2.857227126	1.795978308	3.342878601
3.437899924	1.961573958	4.704229564
3.437899924	1.962665319	4.704229564
2.857227126	1.748375535	3.342878601
2.288977855	1.461193085	2.219685524
2.094395102	1.335196614	1.883847922
1.599620682	0.9760475755	1.145307287
1.209199576	0.6274952888	0.6831725383
1.047197551	0.5108290911	0.5238141724
1.209199576	0.6305093169	0.6831725383
1.599620682	0.9513956904	1.145307287
2.094395102	1.336995482	1.883847922
2.635389378	1.68661654	2.879430203
3.199241364	1.927182913	4.118988883
3.775724466	2.010290861	5.593148622
3.199241364	1.925739527	4.118988883
2.635389378	1.658272386	2.879430203
2.443460953	1.558787227	2.504187269
1.943516402	1.231471777	1.640920113
1.521542767	0.9012835622	1.044217857
1.258574822	0.6835678816	0.7355724924
1.258574822	0.6712194681	0.7355724924
1.521542767	0.9012001157	1.044217857
1.943516402	1.242001772	1.640920113
2.443460953	1.591193438	2.504187269
2.982419933	1.850706458	3.618352786
3.542631465	1.990698099	4.972264174
3.542631465	1.98842001	4.972264174
2.982419933	1.839614511	3.618352786
2.792526803	1.75446403	3.20444006
2.288977855	1.477905273	2.219685524
1.847082863	1.155298591	1.493740582
1.521542767	0.9036631584	1.044217857
1.396263402	0.7785531282	0.8910120071
1.521542767	0.9014599919	1.044217857
1.847082863	1.164732218	1.493740582
2.288977855	1.515197873	2.219685524
2.792526803	1.76794827	3.20444006
3.329875986	1.984535933	4.434919071
3.887032804	2.035268307	5.901413339
3.329875986	1.987138987	4.434919071
3.141592654	1.949979186	3.982979988
2.635389378	1.703579903	2.879430203
2.179915537	1.40726757	2.028340768
1.813799364	1.123631716	1.44441731
1.599620682	0.9449580908	1.145307287
1.599620682	0.9442563057	1.145307287
1.813799364	1.10758388	1.44441731
2.179915537	1.371567726	2.028340768
