|k|	energy structure factor	energy structure factor fit
0	0.3073897547	0.3190260696
0.6045997881	0.2882145311	0.2844552705
1.209199576	0.2530493544	0.2523295071
1.813799364	0.2258326703	0.2226487794
2.418399152	0.2024775025	0.1954130874
3.02299894	0.1863608322	0.1706224311
3.627598728	0.178628038	0.1482768104
3.02299894	0.1881258276	0.1706224311
2.418399152	0.2019802105	0.1954130874
1.813799364	0.2251943329	0.2226487794
1.209199576	0.2520320949	0.2523295071
0.6045997881	0.2883412319	0.2844552705
0.3490658504	0.2991945413	0.2987682944
0.3490658504	0.2970800621	0.2987682944
0.9235414313	0.2654965736	0.2672034165
1.521542767	0.2339485483	0.2366908103
2.123284675	0.2141469934	0.2084017917
2.726291445	0.1940110405	0.1824829269
3.329875986	0.1835332334	0.1589748928
3.329875986	0.1821166016	0.1589748928
2.726291445	0.1932847902	0.1824829269
2.123284675	0.2139971893	0.2084017917
1.521542767	0.2366291755	0.2366908103
0.9235414313	0.2685339246	0.2672034165
0.6981317008	0.2803101308	0.279325531
0.3490658504	0.2982118621	0.2987682944
0.6981317008	0.2854127645	0.279325531
1.258574822	0.2475644415	0.249813916
1.847082863	0.2176569215	0.2210858466
2.443460953	0.2005199166	0.1943368929
3.043085533	0.1867953533	0.1698407772
3.64435447	0.1801210559	0.1476923485
3.043085533	0.1854201091	0.1698407772
2.443460953	0.1984149011	0.1943368929
1.847082863	0.2204620474	0.2210858466
1.258574822	0.246319396	0.249813916
1.047197551	0.2574069105	0.2606977796
0.6045997881	0.2919972427	0.2844552705
0.6045997881	0.2877475856	0.2844552705
1.047197551	0.2599293057	0.2606977796
1.599620682	0.2311277076	0.2328834793
2.179915537	0.2073549455	0.205864162
2.770624294	0.1936910217	0.1806733601
3.366269154	0.180545057	0.1576353684
3.366269154	0.1814916304	0.1576353684
2.770624294	0.190787637	0.1806733601
2.179915537	0.2068324852	0.205864162
1.599620682	0.2298132413	0.2328834793
1.396263402	0.2420733648	0.2428850401
0.9235414313	0.2703562287	0.2672034165
0.6981317008	0.2747705506	0.279325531
0.9235414313	0.2689214568	0.2672034165
1.396263402	0.2456117156	0.2428850401
1.943516402	0.2166064021	0.2165993379
2.517149644	0.196953481	0.1911969172
3.102565143	0.1842737513	0.1675420028
3.694165725	0.1794886659	0.1459659569
3.102565143	0.1830238168	0.1675420028
