U	Energy	Variance	Error
4	-462.0062095	6.590992061	0.008285901719
5	-474.9765891	10.50945422	0.01046295758
6	-490.9687209	16.29496874	0.01302840196
7	-510.0298023	21.99321005	0.0151359155
8	-532.0571394	29.13557603	0.01742112464
9	-556.9501414	35.70765784	0.01928612893
10	-584.5352608	43.31888925	0.02124237345
11	-614.5816129	50.46237669	0.02292705296
12	-646.5870556	53.62562514	0.02363472576
13	-680.2724193	59.46081599	0.0248874165
14	-715.2668838	58.90783551	0.02477142076
18	-863.9977304	64.88466253	0.02599772877
