U	Energy	Variance	Error
4	-473.6441142	4.055951153	0.00649996086
5	-486.6719596	6.814351971	0.008425131039
6	-502.7146251	10.13950585	0.01027715197
7	-521.7792137	14.47586172	0.01227966719
8	-543.9453933	19.76955842	0.01435036237
9	-569.1745484	25.44053407	0.01627899147
10	-597.3879547	31.34504935	0.01806961346
11	-628.5455033	36.86214523	0.01959542496
12	-662.1761544	41.78612215	0.02086317583
13	-697.9705833	43.9693772	0.02140126973
14	-735.3515268	45.23387069	0.02170682273
18	-895.1087239	51.68667205	0.02320350909
