U	Energy	Variance	Error
4	-436.794775	10.2040604	0.01030981551
5	-449.0654433	16.05468197	0.01293198633
6	-464.2546415	23.06643711	0.0155008189
7	-482.1923235	31.03717468	0.01798065357
8	-502.7321166	38.75617888	0.02009254082
9	-525.6243468	46.99660197	0.02212573021
10	-550.5216297	53.24061327	0.02354972869
11	-577.1283587	59.55538539	0.02490719972
12	-605.1815582	66.95944375	0.0264101156
13	-634.4190864	69.97967573	0.02699916583
14	-664.6366294	73.01811521	0.0275790748
18	-791.9864746	85.66573224	0.02987225096
