Flux	Charge MBP	Charge MBP Error	Spin MBP	Spin MBP Error
0	-0.3855090737	0.1367373019	0.06856319308	0.2336030006
0.6283185307	0.9067029953	0.309660852	1.515950918	0.2080668062
1.256637061	2.588638783	0.1720255464	2.586983204	0.2221450657
1.884955592	-2.546204567	0.2583199441	-2.52647233	0.1955788285
2.513274123	-1.07774353	0.3197501004	-0.8373221755	0.3719764948
3.141592654	-0.4680622518	0.1853716969	0.02301416546	0.2704684138
3.769911184	1.293458223	0.4699683487	0.6004621387	0.4040827155
4.398229715	2.819970131	0.2217532843	2.209269285	0.3184011281
5.026548246	-2.789038181	0.1228552014	-2.030732632	0.2717963159
5.654866776	-1.532187343	0.435372889	-1.322772503	0.2820058465
