Flux	Charge MBP	Charge MBP Error	Spin MBP	Spin MBP Error
0	0.003313840833	3.616692993e-05	-0.1357886046	0.3057875931
0.6283185307	-0.01050805952	0.0001164802234	0.8481093645	0.3955643773
1.256637061	-0.01887097396	0.000211034494	2.40135932	0.3376111686
1.884955592	0.006653857417	7.755677507e-05	-1.881841063	0.229507342
2.513274123	-0.01990632713	0.0002284517541	-1.491248131	0.2126296312
3.141592654	0.008009531535	9.184956434e-05	-0.255800277	0.2462239563
3.769911184	0.007413304411	8.499092655e-05	0.6618587971	0.8613257408
4.398229715	0.0002783685923	3.250950158e-06	2.763162136	0.2111268193
5.026548246	-0.02916015871	0.0003377549292	-2.810310602	0.4798852503
5.654866776	-0.01710409671	0.0001915106404	-0.9364752173	0.3571596742
