U	raw gap 	projected gap 	extrapolated gap 
4	4.577158947	4.016871703	3.576104266
8	4.138030645	3.922960026	3.723229724
9	3.9884287	3.532497789	3.158938284
10	3.629866383	3.192238227	2.836484528
11	2.958471239	2.505151472	2.135346451
12	2.038105416	1.555929394	1.216542663
13	1.01342098	0.571496954	0.4060466304
13.25	0.7324911895	0.3711292441	0.2131543091
13.5	0.937396853	0.6625170047	0.5800216526
13.75	1.001800358	0.8059451226	0.7683103024
14	1.56374361	1.384106797	1.503823722
15	4.553816251	4.220611244	4.100879659
16	5.778105767	5.507184033	5.399584075
18	7.953326757	7.636421947	7.460112693
20	10.27871417	9.764336558	9.446508467
