U	Linear component of low-k structure factor
4	-0.0108580659
6	-0.01587051058
8	-0.02330201614
9	-0.03644667006
10	-0.03566043214
11	-0.04960678902
12	-0.05516358349
13	-0.05550225683
13.25	-0.05920166968
13.5	-0.0558827772
13.75	-0.05282239372
14	-0.04945598507
15	-0.02088844652
16	-0.01051755889
18	-0.00291962354
20	-0.0007312665126
